Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","Cpol 400uF","CP_Radial_D6.3mm_P2.50mm",48.000000,-58.391022,90.000000,top
"C2","Cpol 1000uF","CP_Radial_D10.0mm_P5.00mm",75.000000,-49.457183,180.000000,top
"C3","Cpol 1000uF","CP_Radial_D10.0mm_P5.00mm",90.867677,-49.581022,180.000000,top
"C4","Cpol 100uF","CP_Radial_D6.3mm_P2.50mm",47.817621,-67.891022,0.000000,top
"C5","Cpol 200uF","CP_Radial_D6.3mm_P2.50mm",62.000000,-62.208643,-90.000000,top
"C6","Cpol 1000uF","CP_Radial_D10.0mm_P5.00mm",79.632323,-64.891022,0.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.865000,-57.441022,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.000000,-54.391022,0.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.000000,-40.891021,180.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.000000,-58.366022,-90.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",29.853672,-75.654835,90.000000,top
"D6","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.000000,-72.391022,180.000000,top
"D7","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",78.500000,-71.391022,180.000000,top
"J1","Servo_Out","PinHeader_3x04_P2.54mm_Vertical",107.000000,-43.931022,0.000000,top
"J2","PWM_In","PinHeader_1x04_P2.54mm_Vertical",100.500000,-43.951397,0.000000,top
"J3","Vcc_Out","PinHeader_1x04_P2.54mm_Vertical",61.540000,-83.891022,-90.000000,top
"J4","DB9","DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm",85.040000,-80.051022,0.000000,top
"J5","CAN_Ext","TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm",99.000000,-82.391022,0.000000,top
"J6","Board_IO","TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm",107.500000,-73.891022,90.000000,top
"JP1","Jumper_Dummy","PinHeader_1x02_P2.00mm_Vertical",77.000000,-75.891022,90.000000,top
"JP2","Jumper_120R","PinHeader_1x02_P2.00mm_Vertical",92.500000,-75.891022,-90.000000,top
"PWR_IN1","Barrel_Jack_MountingPin","BarrelJack_CUI_PJ-063AH_Horizontal",41.000000,-67.641022,-90.000000,top
"PWR_IN2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",45.021584,-83.891022,90.000000,top
"R1","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.865000,-53.416022,-90.000000,top
"R2","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",110.500000,-39.891022,90.000000,top
"R3","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.000000,-54.391022,0.000000,top
"R4","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.000000,-54.391022,180.000000,top
"R5","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.912301,-75.577467,-90.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",51.000000,-72.391022,180.000000,top
"R7","15k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",86.000000,-71.391022,180.000000,top
"R8","120R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.000000,-76.391022,0.000000,top
"SW1","SW_DPDT_x2","SW_Toggle_Blue_wSlots",35.653344,-82.146524,0.000000,top
"U1","APE1707M-50-HF","SOIC-8_3.9x4.9mm_P1.27mm",55.365000,-57.416022,90.000000,top
"U2","LM2576HVT-5","TO-220-5_Vertical",76.032323,-40.007183,180.000000,top
"U3","LM2576HVT-5","TO-220-5_Vertical",91.900000,-40.131022,180.000000,top
"U4","LM2576HVT-15","TO-220-5_Vertical",93.500000,-57.191022,-90.000000,top
"U5","LD1117S33TR_SOT223","SOT-223-3_TabPin2",49.500000,-77.391022,180.000000,top
"U6","LM2576HVT-15","TO-220-5_Vertical",69.500000,-69.591022,90.000000,top
