Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C6, C7",CP_Radial_D10.0mm_P5.00mm,5,Cpol 1000uF,
C4,CP_Radial_D6.3mm_P2.50mm,1,Cpol 100uF,
C5,CP_Radial_D6.3mm_P2.50mm,1,Cpol 200uF,
"D1, D2, D3, D4, D5, D6, D7",0805,7,LED,
"D10, D11, D12, D8, D9",D_DO-201AD_P15.24mm_Horizontal,5,1N5822,
J1,PinHeader_3x04_P2.54mm_Vertical,1,Servo_Out,
J2,PinHeader_1x04_P2.54mm_Vertical,1,PWM_In,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Vcc_Out,
J4,PinHeader_1x08_P2.54mm_Horizontal,1,ZDT_Pins,
J5,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,CAN_Ext,
J6,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,Board_IO,
J7,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,ZDT_Connector,
JP1,PinHeader_1x02_P2.00mm_Vertical,1,Jumper_Dummy,
JP2,PinHeader_1x02_P2.00mm_Vertical,1,Jumper_120R,
PWR_IN1,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack_MountingPin,
PWR_IN2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"R1, R2, R3",0805,3,5k,
"R4, R5, R7",0805,3,15k,
R6,0805,1,1k,
R8,0805,1,120R,
SW1,SW_Toggle_Blue_wSlots,1,SW_DPDT_x2,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,APE1707M-50-HF,
"U2, U3",TO-220-5_Vertical,2,LM2576HVT-5,
"U4, U6",TO-220-5_Vertical,2,LM2576HVT-15,
U5,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
