Designator,Mid X,Mid Y,Rotation,Layer
C1,52.25,-41.632323,270.0,top
C2,72.5,-49.457183,180.0,top
C3,88.367677,-49.581022,180.0,top
C4,78.567621,-76.0,0.0,top
C5,51.25,-56.317621,270.0,top
C6,82.132323,-64.891022,0.0,top
C7,85.617677,-81.75,180.0,top
D1,51.25,-50.5,270.0,top
D10,81.5,-48.081022,90.0,bottom
D11,82.0,-69.391022,180.0,bottom
D12,58.115,-57.775,90.0,bottom
D2,107.0,-54.391022,0.0,top
D3,107.0,-40.891021,180.0,top
D4,98.0,-57.5,270.0,top
D5,30.75,-47.25,0.0,top
D6,48.275,-77.25,180.0,top
D7,78.5,-71.391022,180.0,top
D8,81.88,-60.891022,0.0,bottom
D9,65.0,-48.081022,90.0,bottom
J1,107.0,-47.701022,0.0,top
J2,100.5,-47.761397,0.0,top
J3,73.48,-82.75,270.0,top
J4,101.0,-67.27,180.0,bottom
J5,107.245,-82.9675,0.0,top
J6,96.73,-83.25,0.0,top
J7,104.333448,-67.25,270.0,top
JP1,62.5,-80.25,90.0,top
JP2,93.25,-78.0,270.0,top
PWR_IN1,36.1,-55.0,270.0,top
PWR_IN2,30.25,-64.48,180.0,top
R1,54.0,-50.5,90.0,top
R2,110.5,-39.891022,90.0,top
R3,103.0,-54.391022,0.0,top
R4,99.0,-54.391022,180.0,top
R5,34.75,-47.25,0.0,top
R6,52.5,-77.25,180.0,top
R7,86.0,-71.391022,180.0,top
R8,97.75,-77.25,90.0,top
SW1,35.3,-41.0,0.0,top
U1,58.115,-55.775,0.0,top
U2,72.632323,-40.007183,180.0,top
U3,88.5,-40.131022,180.0,top
U4,93.5,-60.591022,270.0,top
U5,50.25,-72.25,0.0,top
U6,69.5,-66.191022,90.0,top
